Metadata_data_name	Metadata_Predicted_Class	Metadata_Phenotypic_Value	UMAP0	UMAP1
mitocheck	Prometaphase	1.0	-0.58454436	-0.9318504
mitocheck	Prometaphase	1.0	-1.2528877	0.56527245
mitocheck	Prometaphase	1.0	-0.77051544	-0.8193396
mitocheck	Prometaphase	1.0	-0.7846777	-1.2377332
mitocheck	Prometaphase	1.0	-1.465988	1.7264888
mitocheck	Prometaphase	1.0	-0.8435914	-1.6731725
mitocheck	Prometaphase	1.0	-0.13608277	-0.42009744
mitocheck	Prometaphase	1.0	1.2254019	2.994041
mitocheck	Prometaphase	1.0	-0.18036865	-2.1816092
mitocheck	Prometaphase	1.0	-2.1464925	1.3463302
mitocheck	Prometaphase	1.0	0.32924816	1.1584982
mitocheck	Prometaphase	1.0	0.02067787	-2.4880726
mitocheck	Prometaphase	1.0	1.0498251	-1.3591727
mitocheck	Prometaphase	1.0	-0.28931713	-1.0745782
mitocheck	Prometaphase	1.0	-0.91360277	-1.4790221
mitocheck	Prometaphase	1.0	0.0830195	-2.0054889
mitocheck	Prometaphase	1.0	-0.043473378	-1.7481095
mitocheck	Prometaphase	1.0	-0.18526356	-2.1771145
mitocheck	Prometaphase	1.0	-0.72499204	1.6653479
mitocheck	Prometaphase	1.0	-1.1971363	0.6226464
mitocheck	Prometaphase	1.0	0.18550456	0.2178534
mitocheck	Prometaphase	1.0	-0.22706528	-1.8269367
mitocheck	Prometaphase	1.0	-0.1603246	-0.6724577
mitocheck	Prometaphase	1.0	-0.27101034	-0.01872359
mitocheck	Prometaphase	1.0	-0.42418003	-1.1959664
mitocheck	Prometaphase	1.0	1.2456422	-0.700711
mitocheck	Prometaphase	1.0	-0.25429302	-0.9770774
mitocheck	Prometaphase	1.0	-1.2428447	-0.5953181
mitocheck	Prometaphase	1.0	-0.17761616	-1.1137642
mitocheck	Prometaphase	1.0	-0.9774199	-1.1798321
mitocheck	Prometaphase	1.0	-1.2723292	0.6348812
mitocheck	Prometaphase	1.0	1.5612411	0.7935679
mitocheck	Prometaphase	1.0	-0.48726153	1.697996
mitocheck	Prometaphase	1.0	-0.6022824	-0.3571079
mitocheck	Prometaphase	1.0	1.2749692	-1.0553207
mitocheck	Prometaphase	1.0	0.20494139	4.9930263
mitocheck	Prometaphase	1.0	-0.20316027	-0.88756067
mitocheck	Prometaphase	1.0	-0.5487249	-1.0928856
mitocheck	Prometaphase	1.0	-1.5412105	2.2184603
mitocheck	Prometaphase	1.0	0.8964551	-1.419223
mitocheck	Prometaphase	1.0	-1.404337	1.4869987
mitocheck	Prometaphase	1.0	-1.1168833	-1.2668681
mitocheck	Prometaphase	1.0	1.1889133	-0.68275
mitocheck	Prometaphase	1.0	-1.8478652	0.68869424
mitocheck	Prometaphase	1.0	0.49161938	3.0523012
mitocheck	Prometaphase	1.0	0.30989334	-0.6602927
mitocheck	Prometaphase	1.0	-0.7617837	3.3919451
mitocheck	Prometaphase	1.0	-1.9753008	0.4836425
mitocheck	Prometaphase	1.0	1.9189475	2.319827
mitocheck	Prometaphase	1.0	-1.5320325	0.9878152
mitocheck	Prometaphase	1.0	-1.1770378	0.15594748
mitocheck	Prometaphase	1.0	0.75830424	0.16713421
mitocheck	Prometaphase	1.0	-1.6749957	1.0887519
mitocheck	Prometaphase	1.0	2.2345235	-0.642427
mitocheck	Prometaphase	1.0	-0.23610912	-1.7899077
mitocheck	Prometaphase	1.0	1.8389919	2.3655112
mitocheck	Prometaphase	1.0	0.20793228	3.468963
mitocheck	Prometaphase	1.0	-1.9548388	1.1278906
mitocheck	Prometaphase	1.0	-0.95517933	-1.1215352
mitocheck	Prometaphase	1.0	-0.0021433085	0.72645026
mitocheck	Prometaphase	1.0	-0.020379534	-1.159809
mitocheck	Prometaphase	1.0	-1.1495581	-0.40421003
mitocheck	Prometaphase	1.0	-1.3824996	2.0511887
mitocheck	Prometaphase	1.0	-0.887814	-0.4194785
mitocheck	Prometaphase	1.0	-1.3731364	0.31812507
mitocheck	Prometaphase	1.0	-1.1778814	1.0493494
mitocheck	Prometaphase	1.0	0.51447713	-0.24101876
mitocheck	Prometaphase	1.0	0.63981515	0.26767007
mitocheck	Prometaphase	1.0	-1.7834537	2.3314402
mitocheck	Prometaphase	1.0	-0.145549	5.007385
mitocheck	Prometaphase	1.0	1.2899761	3.3807259
mitocheck	Prometaphase	1.0	-1.1255635	1.9558403
mitocheck	Prometaphase	1.0	-0.93268615	-0.789202
mitocheck	Prometaphase	1.0	-1.5211427	1.540482
mitocheck	Prometaphase	1.0	-1.8966507	1.8403766
mitocheck	Prometaphase	1.0	-1.0306506	0.08905523
mitocheck	Prometaphase	1.0	-1.3855698	0.6627327
mitocheck	Prometaphase	1.0	0.6507581	-0.3915943
mitocheck	Prometaphase	1.0	1.5829358	6.4732666
mitocheck	Prometaphase	1.0	-0.3300944	5.349946
mitocheck	Prometaphase	1.0	0.46074486	1.4553751
mitocheck	Prometaphase	1.0	-1.0954787	1.1906669
mitocheck	Prometaphase	1.0	-0.76585716	-0.17427598
mitocheck	Prometaphase	1.0	1.2675934	0.568499
mitocheck	Prometaphase	1.0	1.5190175	1.4072382
mitocheck	Prometaphase	1.0	-1.242737	0.8674858
mitocheck	Prometaphase	1.0	2.8321807	3.5571475
mitocheck	Prometaphase	1.0	-1.5446069	0.65202564
mitocheck	Prometaphase	1.0	-0.079746105	3.7187827
mitocheck	Prometaphase	1.0	1.4030946	-0.43704417
mitocheck	Prometaphase	1.0	0.29900554	-1.197309
mitocheck	Prometaphase	1.0	0.79812735	-0.48890525
mitocheck	Prometaphase	1.0	-0.5801611	0.46868578
mitocheck	Prometaphase	1.0	-1.6787069	1.743033
mitocheck	Prometaphase	1.0	0.5259532	0.36850372
mitocheck	Prometaphase	1.0	-2.6170452	3.1376004
mitocheck	Prometaphase	1.0	-1.7756463	0.4660811
mitocheck	Prometaphase	1.0	-0.38355878	2.1299574
mitocheck	Prometaphase	1.0	-1.1942095	1.2397934
mitocheck	Prometaphase	1.0	2.5269074	6.2894173
mitocheck	Prometaphase	1.0	1.5592002	0.16681461
mitocheck	Prometaphase	1.0	1.209981	-0.03199201
mitocheck	Prometaphase	1.0	-1.1227643	0.09560538
